"old_file","old_fqcn","new_file","new_fqcn","symbol_type","business_domain","registration_type","external_reference_count"
"vendor/dtyq/super-magic-module/src/Interfaces/Skill/DTO/Request/UpdateSkillMarketRequestAdminDTO.php","Dtyq\SuperMagic\Interfaces\Skill\DTO\Request\UpdateSkillMarketRequestAdminDTO","app/Interfaces/SuperMagic/Skill/DTO/Request/UpdateSkillMarketRequestAdminDTO.php","App\Interfaces\SuperMagic\Skill\DTO\Request\UpdateSkillMarketRequestAdminDTO","class","Skill","ordinary","0"
"vendor/dtyq/super-magic-module/src/Interfaces/Skill/DTO/Request/UpdateSkillMarketSortOrderRequestAdminDTO.php","Dtyq\SuperMagic\Interfaces\Skill\DTO\Request\UpdateSkillMarketSortOrderRequestAdminDTO","app/Interfaces/SuperMagic/Skill/DTO/Request/UpdateSkillMarketSortOrderRequestAdminDTO.php","App\Interfaces\SuperMagic\Skill\DTO\Request\UpdateSkillMarketSortOrderRequestAdminDTO","class","Skill","ordinary","0"
"vendor/dtyq/super-magic-module/src/Interfaces/Skill/DTO/Response/LatestPublishedSkillVersionItemDTO.php","Dtyq\SuperMagic\Interfaces\Skill\DTO\Response\LatestPublishedSkillVersionItemDTO","app/Interfaces/SuperMagic/Skill/DTO/Response/LatestPublishedSkillVersionItemDTO.php","App\Interfaces\SuperMagic\Skill\DTO\Response\LatestPublishedSkillVersionItemDTO","class","Skill","ordinary","0"
"vendor/dtyq/super-magic-module/src/Interfaces/Skill/DTO/Response/LatestPublishedSkillVersionsResponseDTO.php","Dtyq\SuperMagic\Interfaces\Skill\DTO\Response\LatestPublishedSkillVersionsResponseDTO","app/Interfaces/SuperMagic/Skill/DTO/Response/LatestPublishedSkillVersionsResponseDTO.php","App\Interfaces\SuperMagic\Skill\DTO\Response\LatestPublishedSkillVersionsResponseDTO","class","Skill","ordinary","0"
"vendor/dtyq/super-magic-module/src/Interfaces/Skill/DTO/Response/OrganizationInfoAdminDTO.php","Dtyq\SuperMagic\Interfaces\Skill\DTO\Response\OrganizationInfoAdminDTO","app/Interfaces/SuperMagic/Skill/DTO/Response/OrganizationInfoAdminDTO.php","App\Interfaces\SuperMagic\Skill\DTO\Response\OrganizationInfoAdminDTO","class","Skill","ordinary","0"
"vendor/dtyq/super-magic-module/src/Interfaces/Skill/DTO/Response/ParseFileImportResponseDTO.php","Dtyq\SuperMagic\Interfaces\Skill\DTO\Response\ParseFileImportResponseDTO","app/Interfaces/SuperMagic/Skill/DTO/Response/ParseFileImportResponseDTO.php","App\Interfaces\SuperMagic\Skill\DTO\Response\ParseFileImportResponseDTO","class","Skill","ordinary","0"
"vendor/dtyq/super-magic-module/src/Interfaces/Skill/DTO/Response/PublishSkillResponseDTO.php","Dtyq\SuperMagic\Interfaces\Skill\DTO\Response\PublishSkillResponseDTO","app/Interfaces/SuperMagic/Skill/DTO/Response/PublishSkillResponseDTO.php","App\Interfaces\SuperMagic\Skill\DTO\Response\PublishSkillResponseDTO","class","Skill","ordinary","0"
"vendor/dtyq/super-magic-module/src/Interfaces/Skill/DTO/Response/PublisherInfoAdminDTO.php","Dtyq\SuperMagic\Interfaces\Skill\DTO\Response\PublisherInfoAdminDTO","app/Interfaces/SuperMagic/Skill/DTO/Response/PublisherInfoAdminDTO.php","App\Interfaces\SuperMagic\Skill\DTO\Response\PublisherInfoAdminDTO","class","Skill","ordinary","0"
"vendor/dtyq/super-magic-module/src/Interfaces/Skill/DTO/Response/QuerySkillMarketsResponseAdminDTO.php","Dtyq\SuperMagic\Interfaces\Skill\DTO\Response\QuerySkillMarketsResponseAdminDTO","app/Interfaces/SuperMagic/Skill/DTO/Response/QuerySkillMarketsResponseAdminDTO.php","App\Interfaces\SuperMagic\Skill\DTO\Response\QuerySkillMarketsResponseAdminDTO","class","Skill","ordinary","0"
"vendor/dtyq/super-magic-module/src/Interfaces/Skill/DTO/Response/QuerySkillVersionsResponseAdminDTO.php","Dtyq\SuperMagic\Interfaces\Skill\DTO\Response\QuerySkillVersionsResponseAdminDTO","app/Interfaces/SuperMagic/Skill/DTO/Response/QuerySkillVersionsResponseAdminDTO.php","App\Interfaces\SuperMagic\Skill\DTO\Response\QuerySkillVersionsResponseAdminDTO","class","Skill","ordinary","0"
"vendor/dtyq/super-magic-module/src/Interfaces/Skill/DTO/Response/QuerySkillVersionsResponseDTO.php","Dtyq\SuperMagic\Interfaces\Skill\DTO\Response\QuerySkillVersionsResponseDTO","app/Interfaces/SuperMagic/Skill/DTO/Response/QuerySkillVersionsResponseDTO.php","App\Interfaces\SuperMagic\Skill\DTO\Response\QuerySkillVersionsResponseDTO","class","Skill","ordinary","0"
